gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,Contract,PaymentMethod,TotalCharges,Churn
Female,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,Electronic check,29.85,No
Male,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,One year,Mailed check,1889.5,No
Male,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Mailed check,108.15,Yes
Male,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,One year,Bank transfer (automatic),1840.75,No
Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,151.65,Yes
Female,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,820.5,Yes
Male,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Credit card (automatic),1949.4,No
Female,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,Month-to-month,Mailed check,301.9,No
Female,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,3046.05,Yes
Male,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,One year,Bank transfer (automatic),3487.95,No
Male,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Mailed check,587.45,No
Male,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),326.8,No
Male,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,One year,Credit card (automatic),5681.1,No
Male,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),5036.3,Yes
Male,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Electronic check,2686.05,No
Female,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),7895.15,No
Female,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,1022.95,No
Male,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Two year,Bank transfer (automatic),7382.25,No
Female,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,Month-to-month,Credit card (automatic),528.35,Yes
Female,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Electronic check,1862.9,No
Male,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Month-to-month,Electronic check,39.65,Yes
Male,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),202.25,No
Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.15,Yes
Female,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,Two year,Credit card (automatic),3505.1,No
Male,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,Month-to-month,Credit card (automatic),2970.3,No
Female,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Bank transfer (automatic),1530.6,No
Male,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Electronic check,4749.15,Yes
Male,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,Electronic check,30.2,Yes
Male,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),6369.45,No
Female,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Mailed check,1093.1,Yes
Female,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Two year,Credit card (automatic),6766.95,No
Male,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Credit card (automatic),181.65,No
Female,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,One year,Mailed check,1874.45,No
Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),20.2,No
Male,No,No,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,Bank transfer (automatic),45.25,No
Female,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,Bank transfer (automatic),7251.7,No
Male,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,316.9,Yes
Female,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Credit card (automatic),3548.3,No
Male,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Electronic check,3549.25,Yes
Female,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Bank transfer (automatic),1105.4,Yes
Male,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,One year,Mailed check,475.7,No
Female,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Two year,Credit card (automatic),4872.35,No
Female,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,418.25,No
Female,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),4861.45,No
Female,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,981.45,No
Female,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,3906.7,No
Male,No,No,2,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Mailed check,97,No
Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,144.15,Yes
Male,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Two year,Credit card (automatic),4217.8,No
Female,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Two year,Credit card (automatic),4254.1,No
Female,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Electronic check,3838.75,No
Female,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Credit card (automatic),1426.4,Yes
Female,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-month,Credit card (automatic),1752.65,No
Female,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Credit card (automatic),633.3,Yes
Female,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,One year,Credit card (automatic),4456.35,No
Male,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,1752.55,Yes
Female,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,One year,Credit card (automatic),6311.2,No
Male,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Electronic check,7076.35,No
Female,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),894.3,No
Female,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Two year,Credit card (automatic),7853.7,No
Female,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,4707.1,No
Male,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Bank transfer (automatic),5450.7,No
Male,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,Two year,Bank transfer (automatic),2962,No
Female,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,One year,Credit card (automatic),957.1,No
Female,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,857.25,Yes
Female,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,244.1,No
Male,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,One year,Electronic check,3650.35,No
Female,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Two year,Mailed check,2497.2,No
Female,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),930.9,No
Male,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Mailed check,887.35,No
Male,No,No,1,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,Mailed check,49.05,No
Female,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,1090.65,No
Male,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),7099,No
Male,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1424.6,No
Female,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Month-to-month,Bank transfer (automatic),177.4,No
Female,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,One year,Electronic check,6139.5,No
Female,No,No,46,Yes,No,DSL,No,No,No,No,No,One year,Credit card (automatic),2688.85,No
Female,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Mailed check,482.25,No
Male,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,2111.3,No
Female,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),1216.6,No
Female,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,79.35,Yes
Female,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Month-to-month,Electronic check,565.35,No
Female,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Bank transfer (automatic),496.9,Yes
Female,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),4327.5,No
Female,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),973.35,No
Male,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Credit card (automatic),918.75,No
Female,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,One year,Bank transfer (automatic),2215.45,No
Female,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1057,No
Female,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,927.1,No
Male,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,Month-to-month,Mailed check,1009.25,No
Male,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Bank transfer (automatic),2570.2,No
Male,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Electronic check,74.7,No
Male,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Two year,Mailed check,5714.25,No
Female,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),7107,No
Male,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Two year,Bank transfer (automatic),7459.05,No
Female,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Electronic check,927.35,Yes
Male,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,One year,Credit card (automatic),4748.7,No
